,cell_type,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2,cre_line,dendrite_type
2082,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2083,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2084,False,0.003502307566915989,9.184642794528888e-05,0.32888675165163306,0.0007228214549959809,0.008139626245005915,3.765603267817316e-05,0.04306440430069758,0.21399030325130208,0.0004989155025167119,0.005052946768334842,0.00012837287956963332,998.8778547889838,0.00023706856738349083,0.0009555389585718928,3.7490462373265366e-06,,,,,,Sst-IRES-Cre,sparsely spiny
2085,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
2086,False,9.344872465863308e-05,0.00014121144750198732,1.5795120799125208,1.1925845120331484e-05,0.023608894216000542,0.0002805934759445572,0.014852547542115218,0.16079487100442966,0.00017936233120713018,0.006913856378372039,0.0007542232379824099,429.54359245533766,6.571523721642173e-05,0.0002575211535549948,5.12163898626687e-06,2.8058371051649653e-05,,,,,Human,spiny
2087,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2088,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
2089,False,,,,,,,,,,,,,,,,,,,,,Ctgf-T2A-dgCre,spiny
2090,Ntsr1-Cre_GN220__L6__exc,4.916271526544945e-07,1.0795841893936065e-05,0.5538480763280612,8.11630382346884e-10,0.04729967499656063,0.00022670752811881909,0.0027538421329707467,0.1843553708452768,0.0008981895683113988,7.633297235154268e-05,0.0004084737040228609,999.9616617743204,0.0008758792361280784,0.00033848480987301523,4.362657622007575e-07,9.728835918790476e-05,,,,,Ntsr1-Cre_GN220,spiny
2091,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2092,False,,,,,,,,,,,,,,,,,,,,,Tlx3-Cre_PL56,spiny
2093,False,,,,,,,,,,,,,,,,,,,,,Ctgf-T2A-dgCre,spiny
2094,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
2095,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
2096,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
2097,False,,,,,,,,,,,,,,,,,,,,,Sim1-Cre_KJ18,spiny
2098,False,,,,,,,,,,,,,,,,,,,,,Oxtr-T2A-Cre,aspiny
2099,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
2100,False,,,,,,,,,,,,,,,,,,,,,Vip-IRES-Cre,aspiny
2101,False,,,,,,,,,,,,,,,,,,,,,Ctgf-T2A-dgCre,spiny
2102,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2103,False,,,,,,,,,,,,,,,,,,,,,Nkx2-1-CreERT2,aspiny
2104,False,,,,,,,,,,,,,,,,,,,,,Tlx3-Cre_PL56,spiny
2105,False,,,,,,,,,,,,,,,,,,,,,Oxtr-T2A-Cre,spiny
2106,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
2107,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
2108,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,aspiny
2109,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
2110,False,,,,,,,,,,,,,,,,,,,,,Vipr2-IRES2-Cre,spiny
2111,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
2112,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
2113,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,aspiny
2114,False,,,,,,,,,,,,,,,,,,,,,Tlx3-Cre_PL56,spiny
2115,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,aspiny
2116,Rorb-IRES2-Cre__L4__exc,8.183222976537175e-05,0.02847827634197215,0.6711105887384463,0.0007247178877381835,0.00013665236689533542,0.02456077740210789,0.0528839914486188,0.24885728864445625,0.0006135322986249674,0.007342601215399101,2.1397753459550585e-05,930.1597439199107,0.00019525414488423133,2.592978042193949e-05,0.0005603757315200677,0.0004935156752898406,,,,,Rorb-IRES2-Cre,spiny
2117,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,sparsely spiny
2118,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
2119,False,,,,,,,,,,,,,,,,,,,,,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,aspiny
2120,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
